Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,North,John,4/4/2018 0:00:00,100000,567
US,North,Bill,12/11/2017 0:00:00,120000,3000
UK,North,Thomas,5/12/2016 0:00:00,140000,345
Australia,East,John,6/20/2011 0:00:00,160000,1000
Africa,East,Bill,4/12/2011 0:00:00,180000,123
Singapore,East,Thomas,7/5/2014 0:00:00,200000,1000
Mylasia,West,John,8/15/2015 0:00:00,1000000,7890
India,West,Bill,11/19/2015 0:00:00,240000,200
US,West,Thomas,8/29/2017 0:00:00,26000000,1000
UK,North,John,5/10/2018 0:00:00,100000,1000
Australia,North,Bill,12/9/2016 0:00:00,120000,567
Africa,North,Thomas,7/4/2018 0:00:00,140000,1000
Singapore,East,John,9/15/2017 0:00:00,160000,892
Mylasia,East,Bill,9/2/2011 0:00:00,180000,444
India,East,Thomas,10/5/2014 0:00:00,200000,90
US,West,John,1/24/2013 0:00:00,220000,90
UK,West,Bill,1/6/2017 0:00:00,240000,90
Australia,West,Thomas,8/28/2010 0:00:00,260000,90
Africa,North,John,6/20/2014 0:00:00,140000,85
Singapore,North,Bill,1/29/2014 0:00:00,150000,85
